repl,seqtype,line,target_id,est_counts,eff_length,length,tpm,subgroup,mix1.conc.attomols.ul,mix2.conc.attomols.ul,expected.fc.ratio,log2(mix1.over.mix2),dilution,amount.added,molecules_of_seq
rep2,ribo,Ara-1,ERC_00165,4,848,872,0.6485801058583844,D,58.59375,117.1875,0.5,-1,10,0.498,1757241.9246093754
rep2,ribo,Ara-1,ERC_00168,0,1000,1024,0,D,0.45776367,0.91552734,0.5,-1,10,0.498,13728.452479779004
rep2,ribo,Ara-1,ERC_00170,4,999,1023,0.5505464762441542,A,14.6484375,3.66210938,4,2,10,0.498,439310.48115234385
rep2,ribo,Ara-1,ERC_00171,149,481,505,42.5932398832737,B,3750,3750,1,0,10,0.498,112463483.17500003
rep1,rna,Ara-1,ERC_00002,6301,1037,1061,160.71865338482579,D,15000,30000,0.5,-1,100,3,270996345.00000006
rep1,rna,Ara-1,ERC_00003,167,999,1023,4.421672215705747,D,937.5,1875,0.5,-1,100,3,16937271.562500004
rep1,rna,Ara-1,ERC_00004,306,499,523,16.220208876530933,A,7500,1875,4,2,100,3,135498172.50000003
rep1,rna,Ara-1,ERC_00009,364,960,984,10.029186613213415,B,937.5,937.5,1,0,100,3,16937271.562500004
rep1,rna,Ara-1,ERC_00012,0,970,994,0,C,0.11444092,0.17166138,0.67,-0.58,100,3,2067.53806922916
rep1,rna,Ara-1,ERC_00013,0,784,808,0,D,0.91552734,1.83105469,0.5,-1,100,3,16540.304192504824
rep1,rna,Ara-1,ERC_00014,2,1933,1957,0.027367410301941637,D,3.66210938,7.32421875,0.5,-1,100,3,66161.21713134774
rep1,rna,Ara-1,ERC_00016,0,820,844,0,C,0.22888184,0.34332275,0.67,-0.58,100,3,4135.07613845832
rep1,rna,Ara-1,ERC_00017,0,1112,1136,0,A,0.11444092,0.02861023,4,2,100,3,2067.53806922916
rep1,rna,Ara-1,ERC_00019,5,620,644,0.21331130690989186,A,29.296875,7.32421875,4,2,100,3,529289.7363281251
rep1,rna,Ara-1,ERC_00022,55,727,751,2.0010771844916952,D,234.375,468.75,0.5,-1,100,3,4234317.890625001
rep1,rna,Ara-1,ERC_00024,0,512,536,0,C,0.22888184,0.34332275,0.67,-0.58,100,3,4135.07613845832
rep1,rna,Ara-1,ERC_00025,28,1970,1994,0.37594764344728154,B,58.59375,58.59375,1,0,100,3,1058579.4726562502
rep1,rna,Ara-1,ERC_00028,1,1106,1130,0.023915553396769068,A,3.66210938,0.91552734,4,2,100,3,66161.21713134774
rep1,rna,Ara-1,ERC_00031,0,1114,1138,0,B,1.83105469,1.83105469,1,0,100,3,33080.60856567387
rep1,rna,Ara-1,ERC_00033,2,1998,2022,0.026477079135962554,A,1.83105469,0.45776367,4,2,100,3,33080.60856567387
rep1,rna,Ara-1,ERC_00034,5,995,1019,0.1329175982755105,B,7.32421875,7.32421875,1,0,100,3,132322.43408203128
rep1,rna,Ara-1,ERC_00035,35,1106,1130,0.8370443688869175,B,117.1875,117.1875,1,0,100,3,2117158.9453125005
rep1,rna,Ara-1,ERC_00039,0,716,740,0,C,3.66210938,5.49316406,0.67,-0.58,100,3,66161.21713134774
